Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
BTF20,2020-01-02,7225,7225,6900,6940,-270.,-3.74%,4964,3650
BTF20,2020-01-03,6960,7500,6860,7385,445,+6.41%,9169,3713
BTF20,2020-01-06,7435,7685,7385,7615,230,+3.11%,6664,4329
BTF20,2020-01-07,7725,8300,7725,8280,665,+8.73%,12325,5400
BTF20,2020-01-08,8165,8595,7915,8110,-170.,-2.05%,17042,5093
BTF20,2020-01-09,8120,8170,7800,7885,-225.,-2.77%,10597,4911
BTF20,2020-01-10,7855,8220,7700,8135,250,+3.17%,13522,5166
BTF20,2020-01-13,8235,8300,8100,8200,65,+0.80%,3520,4949
BTF20,2020-01-14,8165,8955,8150,8750,550,+6.71%,14807,5405
BTF20,2020-01-15,8810,8995,8635,8880,130,+1.49%,7593,5258
BTF20,2020-01-16,8925,8955,8615,8790,-90.,-1.01%,6265,5172
BTF20,2020-01-17,8765,9085,8720,8925,135,+1.54%,7245,5329
BTF20,2020-01-21,8720,8825,8515,8750,-175.,-1.96%,8117,5139
BTF20,2020-01-22,8775,8865,8600,8680,-70.,-0.80%,4952,5016
BTF20,2020-01-23,8665,8705,8290,8370,-310.,-3.57%,14502,4399
BTF20,2020-01-24,8410,8540,8235,8495,125,+1.49%,10576,4467
BTF20,2020-01-27,8595,9020,8575,8995,500,+5.89%,14102,4994
BTF20,2020-01-28,8935,9215,8895,9060,65,+0.72%,17425,4917
BTF20,2020-01-29,9040,9480,9040,9390,330,+3.64%,13815,5171
BTF20,2020-01-30,9335,9570,9160,9555,165,+1.76%,18070,4759
BTG20,2020-01-31,9715,9745,9335,9440,-115.,-1.20%,9639,4074
BTG20,2020-02-03,9495,9790,9270,9410,-30.,-0.32%,9210,4143
BTG20,2020-02-04,9355,9440,9130,9255,-155.,-1.65%,8390,4367
BTG20,2020-02-05,9245,9945,9220,9830,575,+6.21%,14938,5186
BTG20,2020-02-06,9800,10010,9685,9895,65,+0.66%,12886,5320
BTG20,2020-02-07,9805,10030,9740,9845,-50.,-0.51%,8887,5181
BTG20,2020-02-10,10200,10360,9510,9935,90,+0.91%,7263,5255
BTG20,2020-02-11,9930,10570,9790,10405,470,+4.73%,16558,6106
BTG20,2020-02-12,10325,10620,10315,10525,120,+1.15%,13378,6040
BTG20,2020-02-13,10505,10670,10160,10305,-220.,-2.09%,16766,6086
BTG20,2020-02-14,10305,10635,10210,10495,190,+1.84%,9261,6512
BTG20,2020-02-18,9980,10365,9505,10250,-245.,-2.33%,23036,6463
BTG20,2020-02-19,10280,10545,9245,10225,-25.,-0.24%,9882,6621
BTG20,2020-02-20,9735,9735,9405,9615,-610.,-5.97%,4397,6310
BTG20,2020-02-21,9650,9830,9600,9740,125,+1.30%,2433,6350
BTG20,2020-02-24,9935,10075,9480,9600,-140.,-1.44%,9212,5662
BTG20,2020-02-25,9640,9695,9240,9320,-280.,-2.92%,5727,5632
BTG20,2020-02-26,9385,9395,8595,8780,-540.,-5.79%,9826,5358
BTH20,2020-02-27,8800,9055,8575,8945,165,+1.88%,6160,4975
BTH20,2020-02-28,8855,8965,8480,8700,-245.,-2.74%,4069,4471
BTH20,2020-03-02,8645,9030,8540,8975,275,+3.16%,2376,4574
BTH20,2020-03-03,8990,9000,8740,8770,-205.,-2.28%,4061,4837
BTH20,2020-03-04,8830,8910,8700,8760,-10.,-0.11%,2024,4771
BTH20,2020-03-05,8805,9250,8795,9195,435,+4.97%,4006,4751
BTH20,2020-03-06,9140,9250,9060,9165,-30.,-0.33%,1944,4743
BTH20,2020-03-09,8265,8280,7640,7850,-1315.,-14.35%,11291,4836
BTH20,2020-03-10,7835,8175,7755,7995,145,+1.85%,5551,4368
BTH20,2020-03-11,7990,8025,7610,7855,-140.,-1.75%,4251,4315
BTH20,2020-03-12,7840,8000,5595,6010,-1845.,-23.49%,17840,4396
BTH20,2020-03-13,5775,5935,4210,5330,-680.,-11.31%,17920,4840
BTH20,2020-03-16,5850,5850,4390,4930,-400.,-7.50%,16612,4675
BTH20,2020-03-17,4975,5525,4835,5380,450,+9.13%,7961,4474
BTH20,2020-03-18,5440,5475,4990,5340,-40.,-0.74%,10334,4171
BTH20,2020-03-19,5380,6410,5275,6240,900,+16.85%,10163,4030
BTH20,2020-03-20,6275,6950,5665,6210,-30.,-0.48%,8660,3638
BTH20,2020-03-23,6060,6650,5685,6300,90,+1.45%,9757,3734
BTH20,2020-03-24,6450,6885,6395,6725,425,+6.75%,9152,3909
BTH20,2020-03-25,6740,6995,6465,6630,-95.,-1.41%,6199,3855
BTH20,2020-03-26,6600,6805,6520,6675,45,+0.68%,5076,3907
BTJ20,2020-03-27,6760,6915,6615,6680,5,+0.07%,2565,3621
BTJ20,2020-03-30,6045,6535,5835,6380,-300.,-4.49%,4769,3807
BTJ20,2020-03-31,6505,6660,6340,6475,95,+1.49%,2591,3947
BTJ20,2020-04-01,6455,6465,6155,6210,-265.,-4.09%,2788,4270
