Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,"Last Trade",Strike,Latest,IV,Delta,Gamma,Theta,Vega,"IV Skew",Type,"Last Trade"
5s,0.00%,0.9966,0.0000,0.0000,0.0000,-47.77%,Call,06/26/26,"19,000","129,555s",0.00%,0.0000,0.0000,0.0000,0.0000,-47.77%,Put,06/26/26
5s,0.00%,0.9966,0.0000,0.0000,0.0000,-47.77%,Call,06/26/26,"19,250","132,050s",0.00%,0.0000,0.0000,0.0000,0.0000,-47.77%,Put,06/26/26
4s,0.00%,0.9966,0.0000,0.0000,0.0000,-47.77%,Call,06/26/26,"19,500","134,540s",0.00%,0.0000,0.0000,0.0000,0.0000,-47.77%,Put,06/26/26
4s,0.00%,0.9966,0.0000,0.0000,0.0000,-47.77%,Call,06/26/26,"19,750","137,030s",0.00%,0.0000,0.0000,0.0000,0.0000,-47.77%,Put,06/26/26
"32,405s",0.00%,0.9966,0.0000,0.0000,0.0000,-47.77%,Call,06/26/26,"27,500",25s,0.00%,0.0000,0.0000,0.0000,0.0000,-47.77%,Put,06/26/26
"29,925s",0.00%,0.9966,0.0000,-0.0006,0.0008,-47.77%,Call,06/26/26,"30,000",35s,97.04%,-0.0057,0.0000,-4.1648,2.9338,+49.27%,Put,06/26/26
"27,455s",0.00%,0.9966,0.0000,-0.0066,0.0096,-47.77%,Call,06/26/26,"32,500",60s,93.09%,-0.0096,0.0000,-6.3549,4.6664,+45.31%,Put,06/26/26
"24,995s",0.00%,0.9965,0.0000,-0.0487,0.0699,-47.77%,Call,06/26/26,"35,000",85s,87.22%,-0.0140,0.0000,-8.2318,6.4595,+39.44%,Put,06/26/26
"22,545s",0.00%,0.9961,0.0000,-0.2502,0.3549,-47.77%,Call,06/26/26,"37,500",130s,82.75%,-0.0215,0.0000,-11.2351,9.2968,+34.98%,Put,06/26/26
"20,110s",60.46%,0.9869,0.0000,-4.2112,4.7168,+12.68%,Call,06/26/26,"40,000",185s,77.63%,-0.0311,0.0000,-14.3388,12.6622,+29.86%,Put,06/26/26
"17,690s",61.59%,0.9721,0.0000,-9.5325,10.3828,+13.82%,Call,06/26/26,"42,500",260s,72.58%,-0.0444,0.0000,-17.9212,16.9510,+24.81%,Put,06/26/26
"15,305s",60.20%,0.9515,0.0000,-15.5005,17.1589,+12.42%,Call,06/26/26,"45,000",360s,67.47%,-0.0627,0.0000,-21.8542,22.2728,+19.70%,Put,06/26/26
