Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
SAH25,2025-03-17,149.45,153.95,148.15,153.3,-3.2,-2.04%,194,121
SAH25,2025-03-18,152.65,152.65,145.25,147.65,-5.65,-3.69%,171,105
SAH25,2025-03-19,148.15,157.85,147.85,156.3,8.65,+5.86%,207,137
SAH25,2025-03-20,157.95,159.55,150.25,151.5,-4.8,-3.07%,172,184
SAH25,2025-03-21,151.1,153,148.3,151.45,-0.05,-0.03%,170,195
SAH25,2025-03-24,154.8,168.35,154.6,166.4,14.95,+9.87%,155,220
SAH25,2025-03-25,164.05,170.85,161.8,168.5,2.1,+1.26%,294,283
SAH25,2025-03-26,167.1,168.8,159.75,160.7,-7.8,-4.63%,202,302
SAJ25,2025-03-27,160.15,163.15,159.05,162.2,1.5,+0.93%,328,400
SAJ25,2025-03-28,162.8,162.85,151,152.3,-9.9,-6.10%,154,273
SAJ25,2025-03-31,148.25,150.7,145.6,147.9,-4.4,-2.89%,191,291
SAJ25,2025-04-01,148.05,153.2,146.65,149.75,1.85,+1.25%,310,364
SAJ25,2025-04-02,149.9,158.8,146.35,154.2,4.45,+2.97%,197,408
SAJ25,2025-04-03,146.6,146.6,135.15,137.9,-16.3,-10.57%,199,418
SAJ25,2025-04-04,139.5,146.45,136.1,145.4,7.5,+5.44%,268,453
SAJ25,2025-04-07,128.8,135.6,118.1,128.4,-17.,-11.69%,455,400
SAJ25,2025-04-08,130.35,135.2,125.85,126.55,-1.85,-1.44%,235,410
SAJ25,2025-04-09,128.65,143.4,123.75,141.9,15.35,+12.13%,411,471
SAJ25,2025-04-10,142.2,143,131.15,134.25,-7.65,-5.39%,246,452
SAJ25,2025-04-11,135.25,144.7,135.2,144,9.75,+7.26%,174,455
SAJ25,2025-04-14,149.8,158.95,149.75,154.25,10.25,+7.12%,292,511
SAJ25,2025-04-15,152.75,157.45,149.75,150.75,-3.5,-2.27%,288,508
SAJ25,2025-04-16,149.45,156.65,146.45,154.75,4,+2.65%,910,581
SAJ25,2025-04-17,155.5,159.05,152.4,155.95,1.2,+0.78%,1132,555
SAJ25,2025-04-21,159.55,166.05,156.8,159.35,3.4,+2.18%,1839,585
SAJ25,2025-04-22,159.7,170.5,157.55,167.05,7.7,+4.83%,1241,744
SAJ25,2025-04-23,170.55,176.85,169.75,172.85,5.8,+3.47%,1442,822
SAK25,2025-04-24,173.4,174.3,167.6,173.75,0.9,+0.52%,593,735
SAK25,2025-04-25,173.15,179.05,172.4,173.4,-0.35,-0.20%,576,698
SAK25,2025-04-28,170.75,175.05,166.65,170.05,-3.35,-1.93%,279,686
SAK25,2025-04-29,169.15,172.05,167.3,170.9,0.85,+0.50%,224,727
SAK25,2025-04-30,168.15,170.05,162,167.1,-3.8,-2.22%,338,709
SAK25,2025-05-01,168.35,175.55,168.1,171.85,4.75,+2.84%,365,737
SAK25,2025-05-02,172.5,173.35,169,169.6,-2.25,-1.31%,197,749
SAK25,2025-05-05,168.4,168.65,164,167.8,-1.8,-1.06%,200,753
SAK25,2025-05-06,168.65,168.95,162.9,166.2,-1.6,-0.95%,150,753
SAK25,2025-05-07,166.25,170.8,165.9,167.2,1,+0.60%,215,774
SAK25,2025-05-08,169.3,184.7,168.45,181.9,14.7,+8.79%,716,876
SAK25,2025-05-09,182.7,197.55,181.9,193.45,11.55,+6.35%,382,955
SAK25,2025-05-12,194.1,202.9,189.95,192.7,-0.75,-0.39%,638,975
SAK25,2025-05-13,196.05,206.15,187.9,203.9,11.2,+5.81%,852,1121
SAK25,2025-05-14,204.05,206.5,195.05,198.6,-5.3,-2.60%,331,1111
SAK25,2025-05-15,197.5,199.85,188.6,191.1,-7.5,-3.78%,321,1087
SAK25,2025-05-16,189,195.6,188.7,193.1,2,+1.05%,305,1145
SAK25,2025-05-19,188.95,195.5,180.5,188,-5.1,-2.64%,508,1222
SAK25,2025-05-20,189.05,194.45,186,189.7,1.7,+0.90%,541,1275
SAK25,2025-05-21,189.65,196.45,187.2,192.85,3.15,+1.66%,1662,1418
SAK25,2025-05-22,192.95,202.25,191.55,199.35,6.5,+3.37%,1470,1433
SAK25,2025-05-23,199.15,209.2,194.9,200.5,1.15,+0.58%,1817,1419
SAM25,2025-05-27,196.55,200.35,192.6,198,-2.5,-1.25%,1756,1504
SAM25,2025-05-28,197.8,198,189.7,189.95,-8.05,-4.07%,1326,1376
SAM25,2025-05-29,191.2,195.6,186.8,187.35,-2.6,-1.37%,440,1384
SAM25,2025-05-30,188.25,188.8,176.4,180.7,-6.65,-3.55%,526,1252
SAM25,2025-06-02,176.85,179.05,171.6,173.2,-7.5,-4.15%,359,1333
SAM25,2025-06-03,176.2,183.75,176.2,181.05,7.85,+4.53%,262,1387
SAM25,2025-06-04,176.45,178.2,174.15,175.65,-5.4,-2.98%,260,1385
