Contract,Latest,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"BTN26 (Jul '26)",59700,-295.,59880,60895,59640,59995,698,N/A,2026-06-28
"BTQ26 (Aug '26)",61040,800,61105,61105,61040,60240,2,N/A,2026-06-27
"BTU26 (Sep '26)",60445,575,60500,61320,58960,59870,22,318,2026-06-26
"BTV26 (Oct '26)",60675,570,0,61455,59235,60105,7,17,2026-06-26
"BTX26 (Nov '26)",60975,570,0,61580,59505,60405,0,0,2026-06-26
"BTZ26 (Dec '26)",61325,570,0,61620,59895,60755,0,162,2026-06-26
"BTH27 (Mar '27)",62195,555,0,62195,61005,61640,0,0,2026-06-26
"BTM27 (Jun '27)",63025,565,0,63025,63025,62460,0,0,2026-06-26
"BTU27 (Sep '27)",63840,565,0,63840,63840,63275,0,0,2026-06-26
"BTZ27 (Dec '27)",64725,575,0,64725,64725,64150,0,0,2026-06-26
"Downloaded from Barchart.com as of 06-28-2026 12:07pm CDT"
