Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
SJK25,2025-05-19,2.733,2.8205,2.666,2.788,-0.0165,-0.59%,150,87
SJK25,2025-05-20,2.7605,2.792,2.7015,2.7425,-0.0455,-1.63%,59,112
SJK25,2025-05-21,2.77,2.8145,2.718,2.777,0.0345,+1.26%,69,124
SJK25,2025-05-22,2.782,2.84,2.764,2.807,0.03,+1.08%,28,132
SJK25,2025-05-23,2.796,2.865,2.689,2.726,-0.081,-2.89%,60,145
SJK25,2025-05-27,2.7215,2.7415,2.6515,2.716,-0.01,-0.37%,189,199
SJK25,2025-05-28,2.7025,2.704,2.606,2.61,-0.106,-3.90%,250,223
SJM25,2025-05-29,2.651,2.689,2.641,2.6475,0.0375,+1.44%,63,245
SJM25,2025-05-30,2.6545,2.662,2.5105,2.561,-0.0865,-3.27%,99,191
SJM25,2025-06-02,2.5395,2.549,2.509,2.535,-0.026,-1.02%,52,187
SJM25,2025-06-03,2.554,2.661,2.554,2.656,0.121,+4.77%,145,238
SJM25,2025-06-04,2.626,2.638,2.572,2.58,-0.076,-2.86%,86,231
SJM25,2025-06-05,2.5795,2.598,2.434,2.499,-0.081,-3.14%,117,258
SJM25,2025-06-06,2.464,2.5595,2.456,2.549,0.05,+2.00%,176,328
SJM25,2025-06-09,2.655,2.6855,2.5965,2.6725,0.1235,+4.85%,192,398
SJM25,2025-06-10,2.7055,2.7055,2.638,2.6675,-0.005,-0.19%,113,396
SJM25,2025-06-11,2.676,2.7105,2.655,2.6615,-0.006,-0.22%,75,415
SJM25,2025-06-12,2.642,2.643,2.541,2.5715,-0.09,-3.38%,180,393
SJM25,2025-06-13,2.5535,2.565,2.4515,2.4905,-0.081,-3.15%,188,408
SJM25,2025-06-16,2.53,2.707,2.521,2.705,0.2145,+8.61%,391,490
SJM25,2025-06-17,2.672,2.6805,2.5075,2.55,-0.155,-5.73%,363,571
SJM25,2025-06-18,2.519,2.5415,2.4805,2.5055,-0.0445,-1.75%,735,555
SJM25,2025-06-20,2.534,2.546,2.446,2.487,-0.0185,-0.74%,546,560
SJM25,2025-06-23,2.336,2.456,2.321,2.412,-0.075,-3.02%,679,663
SJN25,2025-06-24,2.5085,2.5665,2.485,2.563,0.151,+6.26%,585,655
SJN25,2025-06-25,2.544,2.5765,2.521,2.554,-0.009,-0.35%,779,647
SJN25,2025-06-26,2.547,2.5585,2.444,2.472,-0.082,-3.21%,500,614
SJN25,2025-06-27,2.464,2.466,2.414,2.437,-0.035,-1.42%,173,524
SJN25,2025-06-30,2.535,2.6775,2.508,2.672,0.235,+9.64%,426,635
SJN25,2025-07-01,2.626,2.626,2.489,2.5005,-0.1715,-6.42%,459,699
SJN25,2025-07-02,2.514,2.635,2.5,2.6095,0.109,+4.36%,482,695
SJN25,2025-07-03,2.594,2.654,2.5685,2.6155,0.006,+0.23%,232,702
SJN25,2025-07-07,2.6275,2.6935,2.598,2.643,0.0275,+1.05%,334,730
SJN25,2025-07-08,2.6135,2.6675,2.5895,2.6655,0.0225,+0.85%,252,753
SJN25,2025-07-09,2.646,2.767,2.643,2.763,0.0975,+3.66%,357,850
SJN25,2025-07-10,2.7595,2.854,2.738,2.845,0.082,+2.97%,449,937
SJN25,2025-07-11,2.88,3.3245,2.8555,3.2005,0.3555,+12.50%,1245,1258
SJN25,2025-07-14,3.161,3.3855,3.139,3.2765,0.076,+2.37%,1001,1588
SJN25,2025-07-15,3.2895,3.3105,3.155,3.2115,-0.065,-1.98%,658,1662
SJN25,2025-07-16,3.2425,3.453,3.225,3.412,0.2005,+6.24%,893,1954
SJN25,2025-07-17,3.4245,3.7545,3.3415,3.6605,0.2485,+7.28%,2317,2650
SJN25,2025-07-18,3.872,4.018,3.7005,3.7845,0.124,+3.39%,2607,3389
SJN25,2025-07-21,3.8485,4.0095,3.752,3.901,0.1165,+3.08%,4632,3848
SJQ25,2025-07-22,3.911,3.9755,3.778,3.9315,0.0305,+0.78%,3932,4054
SJQ25,2025-07-23,3.946,3.958,3.453,3.587,-0.3445,-8.76%,4765,4356
SJQ25,2025-07-24,3.491,3.624,3.3265,3.5745,-0.0125,-0.35%,1933,4776
SJQ25,2025-07-25,3.511,3.5115,3.334,3.406,-0.1685,-4.71%,675,3882
SJQ25,2025-07-28,3.548,3.6555,3.4385,3.4845,0.0785,+2.30%,657,4006
SJQ25,2025-07-29,3.4785,3.507,3.371,3.443,-0.0415,-1.19%,748,4120
SJQ25,2025-07-30,3.441,3.4755,3.309,3.4105,-0.0325,-0.94%,1013,4212
SJQ25,2025-07-31,3.4015,3.4865,3.346,3.359,-0.0515,-1.51%,565,4234
SJQ25,2025-08-01,3.3335,3.354,3.186,3.308,-0.051,-1.52%,720,4127
SJQ25,2025-08-04,3.225,3.3905,3.2095,3.3485,0.0405,+1.22%,578,4258
SJQ25,2025-08-05,3.3715,3.403,3.2275,3.238,-0.1105,-3.30%,470,4158
SJQ25,2025-08-06,3.2095,3.3105,3.1935,3.3055,0.0675,+2.08%,422,4305
SJQ25,2025-08-07,3.293,3.417,3.2605,3.3965,0.091,+2.75%,731,4678
SJQ25,2025-08-08,3.551,3.6775,3.5045,3.6435,0.247,+7.27%,1756,5338
SJQ25,2025-08-11,3.479,3.6315,3.428,3.44,-0.2035,-5.59%,1288,5229
SJQ25,2025-08-12,3.431,3.61,3.398,3.5915,0.1515,+4.40%,1501,5744
