Type,Latest,Volume,"Open Int",Premium,Strike,Type,Latest,Volume,"Open Int",Premium
Call,5s,N/A,N/A,25.00,"19,000",Put,"129,555s",N/A,N/A,"647,775.00"
Call,5s,N/A,N/A,25.00,"19,250",Put,"132,050s",N/A,N/A,"660,250.00"
Call,4s,N/A,N/A,20.00,"19,500",Put,"134,540s",N/A,N/A,"672,700.00"
Call,4s,N/A,N/A,20.00,"19,750",Put,"137,030s",N/A,N/A,"685,150.00"
Call,"32,405s",N/A,N/A,"162,025.00","27,500",Put,25s,N/A,12,125.00
Call,"29,925s",N/A,N/A,"149,625.00","30,000",Put,35s,N/A,N/A,175.00
Call,"27,455s",N/A,N/A,"137,275.00","32,500",Put,60s,N/A,1,300.00
Call,"24,995s",N/A,N/A,"124,975.00","35,000",Put,85s,N/A,N/A,425.00
Call,"22,545s",N/A,N/A,"112,725.00","37,500",Put,130s,N/A,N/A,650.00
Call,"20,110s",N/A,N/A,"100,550.00","40,000",Put,185s,N/A,N/A,925.00
Call,"17,690s",N/A,N/A,"88,450.00","42,500",Put,260s,N/A,N/A,"1,300.00"
Call,"15,305s",N/A,N/A,"76,525.00","45,000",Put,360s,N/A,2,"1,800.00"
Call,"12,955s",N/A,N/A,"64,775.00","47,500",Put,570s,5,57,"2,850.00"
Call,"12,495s",N/A,N/A,"62,475.00","48,000",Put,540s,N/A,N/A,"2,700.00"
Call,"12,035s",N/A,N/A,"60,175.00","48,500",Put,620s,5,5,"3,100.00"
Call,"11,575s",N/A,N/A,"57,875.00","49,000",Put,620s,N/A,N/A,"3,100.00"
Call,"11,125s",N/A,N/A,"55,625.00","49,500",Put,665s,N/A,N/A,"3,325.00"
Call,"10,675s",N/A,N/A,"53,375.00","50,000",Put,665,24,N/A,"3,325.00"
Call,"10,230s",N/A,N/A,"51,150.00","50,500",Put,770s,N/A,N/A,"3,850.00"
Call,"9,790s",N/A,N/A,"48,950.00","51,000",Put,825s,N/A,5,"4,125.00"
Call,"9,355s",N/A,N/A,"46,775.00","51,500",Put,890s,N/A,1,"4,450.00"
Call,"8,925s",N/A,N/A,"44,625.00","52,000",Put,920s,7,20,"4,600.00"
Call,"8,500s",N/A,N/A,"42,500.00","52,500",Put,"1,030s",N/A,N/A,"5,150.00"
Call,"8,085s",N/A,N/A,"40,425.00","53,000",Put,"1,115s",N/A,N/A,"5,575.00"
Call,"7,675s",N/A,N/A,"38,375.00","53,500",Put,"1,200s",N/A,N/A,"6,000.00"
Call,"7,270s",N/A,N/A,"36,350.00","54,000",Put,"1,350s",2,2,"6,750.00"
Call,"6,880s",N/A,N/A,"34,400.00","54,500",Put,"1,400s",N/A,23,"7,000.00"
