Leg1,Leg2,Leg3,Leg4,Type,Latest,Change,Open,High,Low,Previous,Volume,Time
BTM6,BAN6,,,AE,-232.,13,-232.,-232.,-232.,-245.,N/A,2026-06-26
BTM6,BAQ6,,,AE,-477.,-17.,-477.,-477.,-477.,-460.,N/A,2026-06-26
BTM6,BAU6,,,AE,-682.,-2.,-682.,-682.,-682.,-680.,N/A,2026-06-26
BTM6,BAV6,,,AE,-912.,3,-912.,-912.,-912.,-915.,N/A,2026-06-26
BTM6,BAX6,,,AE,-1212.,3,-1212.,-1212.,-1212.,-1215.,N/A,2026-06-26
BTM6,BAZ6,,,AE,-1562.,3,-1562.,-1562.,-1562.,-1565.,N/A,2026-06-26
BTM6,BAH7,,,AE,-2432.,18,-2432.,-2432.,-2432.,-2450.,N/A,2026-06-26
BTM6,BAM7,,,AE,-3262.,8,-3262.,-3262.,-3262.,-3270.,N/A,2026-06-26
BTM6,BAU7,,,AE,-4077.,8,-4077.,-4077.,-4077.,-4085.,N/A,2026-06-26
BTM6,BAZ7,,,AE,-4962.,-2.,-4962.,-4962.,-4962.,-4960.,N/A,2026-06-26
BTM6,BTN6,,,EQ,232,-13.,220,348,-100.,245,581,2026-06-26
BTM6,BTQ6,,,EQ,477,17,591,591,591,460,2,2026-06-26
BTM6,BTU6,,,EQ,682,2,682,682,682,680,N/A,2026-06-26
BTM6,BTV6,,,EQ,912,-3.,912,912,912,915,N/A,2026-06-26
BTM6,BTX6,,,EQ,1212,-3.,1212,1212,1212,1215,N/A,2026-06-26
BTM6,BTZ6,,,EQ,1562,-3.,1562,1562,1562,1565,N/A,2026-06-26
BTM6,BTH7,,,EQ,2432,-18.,2432,2432,2432,2450,N/A,2026-06-26
BTM6,BTM7,,,EQ,3262,-8.,3262,3262,3262,3270,N/A,2026-06-26
BTM6,BTU7,,,EQ,4077,-8.,4077,4077,4077,4085,N/A,2026-06-26
BTM6,BTZ7,,,EQ,4962,2,4962,4962,4962,4960,N/A,2026-06-26
BTN6,BAQ6,,,AE,-245.,-30.,0,-245.,-245.,-215.,N/A,2026-06-26
BTN6,BAU6,,,AE,-450.,-15.,0,-450.,-450.,-435.,N/A,2026-06-26
BTN6,BAV6,,,AE,-680.,-10.,0,-680.,-680.,-670.,N/A,2026-06-26
BTN6,BAX6,,,AE,-980.,-10.,0,-980.,-980.,-970.,N/A,2026-06-26
BTN6,BAZ6,,,AE,-1330.,-10.,0,-1330.,-1330.,-1320.,N/A,2026-06-26
BTN6,BAH7,,,AE,-2200.,5,0,-2200.,-2200.,-2205.,N/A,2026-06-26
BTN6,BAM7,,,AE,-3030.,-5.,0,-3030.,-3030.,-3025.,N/A,2026-06-26
BTN6,BAU7,,,AE,-3845.,-5.,0,-3845.,-3845.,-3840.,N/A,2026-06-26
BTN6,BAZ7,,,AE,-4730.,-15.,0,-4730.,-4730.,-4715.,N/A,2026-06-26
BTN6,BTQ6,,,EQ,248,33,222,250,210,215,564,2026-06-26
BTN6,BTU6,,,EQ,450,15,396,450,396,435,4,2026-06-26
BTN6,BTV6,,,EQ,680,10,0,680,680,670,N/A,2026-06-26
BTN6,BTX6,,,EQ,980,10,0,980,980,970,N/A,2026-06-26
BTN6,BTZ6,,,EQ,1330,10,0,1330,1330,1320,N/A,2026-06-26
BTN6,BTH7,,,EQ,2200,-5.,0,2200,2200,2205,N/A,2026-06-26
BTN6,BTM7,,,EQ,3030,5,0,3030,3030,3025,N/A,2026-06-26
BTN6,BTU7,,,EQ,3845,5,0,3845,3845,3840,N/A,2026-06-26
BTN6,BTZ7,,,EQ,4730,15,0,4730,4730,4715,N/A,2026-06-26
BTQ6,BAU6,,,AE,-205.,15,0,-205.,-205.,-220.,N/A,2026-06-26
BTQ6,BAV6,,,AE,-435.,20,0,-435.,-435.,-455.,N/A,2026-06-26
BTQ6,BAX6,,,AE,-735.,20,0,-735.,-735.,-755.,N/A,2026-06-26
BTQ6,BAZ6,,,AE,-1085.,20,0,-1085.,-1085.,-1105.,N/A,2026-06-26
BTQ6,BAH7,,,AE,-1955.,35,0,-1955.,-1955.,-1990.,N/A,2026-06-26
BTQ6,BAM7,,,AE,-2785.,25,0,-2785.,-2785.,-2810.,N/A,2026-06-26
BTQ6,BAU7,,,AE,-3600.,25,0,-3600.,-3600.,-3625.,N/A,2026-06-26
BTQ6,BAZ7,,,AE,-4485.,15,0,-4485.,-4485.,-4500.,N/A,2026-06-26
BTQ6,BTU6,,,EQ,215,-5.,213,220,201,220,5,2026-06-26
BTQ6,BTV6,,,EQ,435,-20.,0,435,435,455,N/A,2026-06-26
BTQ6,BTX6,,,EQ,735,-20.,0,735,735,755,N/A,2026-06-26
BTQ6,BTZ6,,,EQ,1085,-20.,0,1085,1085,1105,N/A,2026-06-26
BTQ6,BTH7,,,EQ,1955,-35.,0,1955,1955,1990,N/A,2026-06-26
BTQ6,BTM7,,,EQ,2785,-25.,0,2785,2785,2810,N/A,2026-06-26
BTQ6,BTU7,,,EQ,3600,-25.,0,3600,3600,3625,N/A,2026-06-26
BTQ6,BTZ7,,,EQ,4485,-15.,0,4485,4485,4500,N/A,2026-06-26
BTU6,BAV6,,,AE,-230.,5,0,-230.,-230.,-235.,N/A,2026-06-26
BTU6,BAX6,,,AE,-530.,5,0,-530.,-530.,-535.,N/A,2026-06-26
BTU6,BAZ6,,,AE,-880.,5,0,-880.,-880.,-885.,N/A,2026-06-26
BTU6,BAH7,,,AE,-1750.,20,0,-1750.,-1750.,-1770.,N/A,2026-06-26
BTU6,BAM7,,,AE,-2580.,10,0,-2580.,-2580.,-2590.,N/A,2026-06-26
BTU6,BAU7,,,AE,-3395.,10,0,-3395.,-3395.,-3405.,N/A,2026-06-26
BTU6,BAZ7,,,AE,-4280.,0,0,-4280.,-4280.,-4280.,N/A,2026-06-26
BTU6,BTV6,,,EQ,235,0,234,235,234,235,7,2026-06-26
BTU6,BTX6,,,EQ,530,-5.,0,530,530,535,N/A,2026-06-26
BTU6,BTZ6,,,EQ,880,-5.,0,880,880,885,N/A,2026-06-26
BTU6,BTH7,,,EQ,1750,-20.,0,1750,1750,1770,N/A,2026-06-26
BTU6,BTM7,,,EQ,2580,-10.,0,2580,2580,2590,N/A,2026-06-26
BTU6,BTU7,,,EQ,3395,-10.,0,3395,3395,3405,N/A,2026-06-26
BTU6,BTZ7,,,EQ,4280,0,0,4280,4280,4280,N/A,2026-06-26
BTV6,BAX6,,,AE,-300.,0,0,-300.,-300.,-300.,N/A,2026-06-26
BTV6,BAZ6,,,AE,-650.,0,0,-650.,-650.,-650.,N/A,2026-06-26
BTV6,BAH7,,,AE,-1520.,15,0,-1520.,-1520.,-1535.,N/A,2026-06-26
BTV6,BAM7,,,AE,-2350.,5,0,-2350.,-2350.,-2355.,N/A,2026-06-26
BTV6,BAU7,,,AE,-3165.,5,0,-3165.,-3165.,-3170.,N/A,2026-06-26
BTV6,BAZ7,,,AE,-4050.,-5.,0,-4050.,-4050.,-4045.,N/A,2026-06-26
BTV6,BTX6,,,EQ,300,0,0,300,300,300,N/A,2026-06-26
BTV6,BTZ6,,,EQ,650,0,0,650,650,650,N/A,2026-06-26
BTV6,BTH7,,,EQ,1520,-15.,0,1520,1520,1535,N/A,2026-06-26
BTV6,BTM7,,,EQ,2350,-5.,0,2350,2350,2355,N/A,2026-06-26
BTV6,BTU7,,,EQ,3165,-5.,0,3165,3165,3170,N/A,2026-06-26
BTV6,BTZ7,,,EQ,4050,5,0,4050,4050,4045,N/A,2026-06-26
BTX6,BAZ6,,,AE,-350.,0,0,-350.,-350.,-350.,N/A,2026-06-26
BTX6,BAH7,,,AE,-1220.,15,0,-1220.,-1220.,-1235.,N/A,2026-06-26
BTX6,BAM7,,,AE,-2050.,5,0,-2050.,-2050.,-2055.,N/A,2026-06-26
