Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
ERF23,2023-01-03,1212.5,1219,1198,1204.5,15.5,+1.30%,2421,5977
ERF23,2023-01-04,1199.5,1271,1199.5,1249,44.5,+3.69%,6587,5799
ERF23,2023-01-05,1249,1257.5,1239,1251,2,+0.16%,2100,5598
ERF23,2023-01-06,1250.5,1278,1234,1265,14,+1.12%,4249,5583
ERF23,2023-01-09,1268.5,1348,1268.5,1320.5,55.5,+4.39%,5842,5421
ERF23,2023-01-10,1318,1350.5,1315.5,1343.5,23,+1.74%,2663,5442
ERF23,2023-01-11,1339.5,1348,1321,1342.5,-1.,-0.07%,2498,5410
ERF23,2023-01-12,1350,1440.5,1350,1437,94.5,+7.04%,7731,5390
ERF23,2023-01-13,1425.5,1467,1400.5,1430,-7.,-0.49%,4180,5370
ERF23,2023-01-17,1562,1610,1523,1588.5,158.5,+11.08%,8992,5585
ERF23,2023-01-18,1575,1613,1502,1521.5,-67.,-4.22%,9920,5306
ERF23,2023-01-19,1529,1567,1507.5,1560.5,39,+2.56%,3479,5417
ERF23,2023-01-20,1555,1656,1543.5,1648.5,88,+5.64%,6109,5439
ERF23,2023-01-23,1633.5,1652.5,1588.5,1637,-11.5,-0.70%,5635,5317
ERF23,2023-01-24,1631.5,1644,1592.5,1618,-19.,-1.16%,4311,5047
ERF23,2023-01-25,1561.5,1624,1516.5,1579.5,-38.5,-2.38%,7549,4813
ERG23,2023-01-26,1591.5,1643,1583.5,1617.5,38,+2.41%,8661,4829
ERG23,2023-01-27,1609.5,1633,1561,1608.5,-9.,-0.56%,5432,4524
ERG23,2023-01-30,1642,1665.5,1540,1559,-49.5,-3.08%,5924,4159
ERG23,2023-01-31,1567,1614.5,1567,1596.5,37.5,+2.41%,3258,4331
ERG23,2023-02-01,1599,1660,1562.5,1644.5,48,+3.01%,4832,4588
ERG23,2023-02-02,1652,1728,1642.5,1690,45.5,+2.77%,8447,4785
ERG23,2023-02-03,1667.5,1687.5,1635.5,1666,-24.,-1.42%,5621,4797
ERG23,2023-02-06,1645.5,1666.5,1617,1655.5,-10.5,-0.63%,4449,4580
ERG23,2023-02-07,1638,1688,1610.5,1673,17.5,+1.06%,5135,4659
ERG23,2023-02-08,1678.5,1706.5,1635.5,1648,-25.,-1.49%,4605,4489
ERG23,2023-02-09,1658.5,1660.5,1527,1579,-69.,-4.19%,7460,4521
ERG23,2023-02-10,1544,1557,1490.5,1530.5,-48.5,-3.07%,4364,4540
ERG23,2023-02-13,1517,1526,1463,1490.5,-40.,-2.61%,7093,4506
ERG23,2023-02-14,1496.5,1570,1481.5,1559,68.5,+4.60%,6496,4372
ERG23,2023-02-15,1556,1687,1543,1671,112,+7.18%,6396,4487
ERG23,2023-02-16,1672,1748,1668.5,1687.5,16.5,+0.99%,8722,4794
ERG23,2023-02-17,1652.5,1727,1633,1715.5,28,+1.66%,5838,4961
ERG23,2023-02-21,1690,1723,1637,1671.5,-44.,-2.56%,10545,4700
ERG23,2023-02-22,1655.5,1668,1596,1616.5,-55.,-3.29%,9816,4477
ERG23,2023-02-23,1631.5,1682,1628.5,1652,35.5,+2.20%,9488,4558
ERH23,2023-02-24,1656,1673.5,1581.5,1620,-32.,-1.94%,6438,3783
