Symbol,Name,Latest,Change,%Change,High,Low,Volume,"Imp Vol","1M IV","3M IV",IV/HV,"5D/1M IV%","IV Rank","1M IV Rank ","IV Pctl","1M IV Pctl","Options Vol","5D Total Vol","Total OI","Call Open Int","Put Open Int","P/C OI","Exp Move"
CLN26,"Crude Oil WTI",74.82,-1.78,-2.32%,78.96,74.45,20626,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
NGN26,"Natural Gas",3.231,-0.112,-3.35%,3.441,3.201,6515,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
FLN26,"Ethanol Chicago",1.9,0.03,+1.60%,1.9,1.9,685,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ZCN26,Corn,412.75,-2.,-0.48%,417.5,411.25,221290,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ZSN26,Soybean,1126.25,-1.25,-0.11%,1128,1118.75,54682,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ZLN26,"Soybean Oil",71.3,0.49,+0.69%,71.38,69.93,33343,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ZMN26,"Soybean Meal",307,-1.2,-0.39%,308.4,303.4,35956,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
GCQ26,Gold,4096.3,48.7,+1.20%,4111.5,3998.1,114770,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
HGN26,"High Grade Copper",6.144,0.07,+1.15%,6.1805,5.961,14161,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
HVN26,"US Midwest Steel CRU",1156,1,+0.09%,1158,1153,115,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
CCU26,Cocoa,5095,-152.,-2.90%,5308,5054,21157,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
VIM26,"S&P 500 VIX",15.91,-0.2127,-1.32%,16.3,15.75,875,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
AHM26,"Bloom Commodity Idx",128.2039,0.5515,+0.43%,129.46,124.52,3140,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ESM26,"S&P 500 E-Mini",7508.43,83.93,+1.13%,7514.5,7436.25,33187,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
QRM26,"Russell 2000 E-Mini",2960.73,41.13,+1.41%,2972.3,2925,8709,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
DXM26,"U.S. Dollar Index",99.474,-0.271,-0.27%,99.6,99.445,411,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTM26,"Bitcoin Futures",59763,573,+0.97%,60655,58245,10053,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
TAM26,"Ether Micro",1562.21,6.21,+0.40%,1583.5,1506,38682,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
L6N26,"Brazilian Real",0.19325,0.00045,+0.23%,0.19375,0.1921,46529,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
A6M26,"Australian Dollar",0.70745,0.0027,+0.38%,0.7089,0.7066,1100,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
B6M26,"British Pound",1.3437,0.0022,+0.16%,1.3457,1.3421,1381,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
J6M26,"Japanese Yen",0.0062475,0.000006,+0.10%,0.00626,0.0062415,3315,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
E6M26,"Euro FX",1.16145,0.0039500000000001,+0.34%,1.16205,1.1595,12049,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ZBU26,"30-Year T-Bond",114.15625,0.0625,+0.05%,114.28125,113.59375,333355,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ZNU26,"10-Year T-Note",110.265625,0.171875,+0.16%,110.328125,110.015625,1678272,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
SQZ26,"3-Month SOFR",96.02,0.04,+0.04%,96.03,95.97,501113,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ZFU26,"5-Year T-Note",107.3125,0.146875,+0.14%,107.365625,107.1,1133779,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ZQQ26,"30-Day Fed Funds",96.295,0.005,+0.01%,96.3,96.29,160103,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
$VXHY,"High Yield Corporate Bond VIX",5.48,-0.14,-2.49%,6.28,5.24,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
GCY00,Gold,4071.95,45.39,+1.13%,4095.39,3983.74,186476,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
DXY00,"U.S. Dollar Index",101.357,-0.074,-0.07%,101.57,101.045,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
VIN26,"S&P 500 VIX",19.0598,-0.0468,-0.24%,19.95,18.85,74155,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
IBIT,"Ishares Bitcoin Trust ETF",33.85,0.33,+0.98%,34.26,33.25,59375699,45.02%,41.89%,42.20%,1.0922877244056,102.42%,23.91%,53.01%,64%,73%,717514,741065,6377650,3477012,2900638,0.83423295634297,0.7905
GBTC,"Grayscale Bitcoin Trust ETF",46.28,0.38,+0.83%,46.92,45.565,1883600,45.96%,42.26%,42.37%,1.1275711481845,103.73%,28.62%,58.38%,65%,64%,1499,2024,48429,38857,9572,0.24633914095272,0.9945
BAM26,"Bitcoin Micro",59763,573,+0.97%,60800,58200,52101,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
