Symbol,Name,Latest,AUM,NAV,Expense,"1M %Chg","3M %Chg","6M %Chg","52W %Chg","YTD %Chg","5D %Chg",Change,%Change,"20D Avg Vol",Volume,"Vol %Chg"
$VHSI,"Hang Seng Volatility Index",25.82,N/A,N/A,N/A,+36.76%,-10.63%,+56.87%,+22.43%,+36.04%,+20.65%,1.27,+5.17%,0,0,0.00%
CCU26,Cocoa,5095,N/A,N/A,N/A,+20.17%,+55.05%,-15.00%,-31.98%,-16.91%,+20.25%,-152.,-2.90%,21646,21157,-2.26%
NGN26,"Natural Gas",3.231,N/A,N/A,N/A,+7.34%,-2.71%,-14.11%,-24.08%,-11.99%,-0.06%,-0.112,-3.35%,144890,6515,-95.50%
QRM26,"Russell 2000 E-Mini",2960.73,N/A,N/A,N/A,+6.40%,+18.64%,+16.32%,+35.81%,+17.75%,+1.32%,41.13,+1.41%,189131,8709,-95.40%
ZBU26,"30-Year T-Bond",114.15625,N/A,N/A,N/A,+2.21%,+1.67%,-0.44%,-0.25%,-0.49%,+0.69%,0.0625,+0.05%,428687,333355,-22.24%
DXY00,"U.S. Dollar Index",101.357,N/A,N/A,N/A,+2.21%,+1.46%,+3.40%,+4.33%,+3.09%,+0.50%,-0.074,-0.07%,0,0,0.00%
ESM26,"S&P 500 E-Mini",7508.43,N/A,N/A,N/A,+1.11%,+12.45%,+9.13%,+21.37%,+8.13%,+1.52%,83.93,+1.13%,1485203,33187,-97.79%
B6M26,"British Pound",1.3437,N/A,N/A,N/A,+0.88%,+1.48%,+0.52%,-1.11%,-0.13%,+0.74%,0.0022,+0.16%,87673,1381,-98.42%
ZNU26,"10-Year T-Note",110.265625,N/A,N/A,N/A,+0.63%,+0.23%,-1.86%,-1.80%,-1.74%,+0.58%,0.171875,+0.16%,1976937,1678272,-15.11%
DXM26,"U.S. Dollar Index",99.474,N/A,N/A,N/A,+0.27%,-0.63%,+1.83%,+2.19%,+1.73%,-0.55%,-0.271,-0.27%,23301,411,-98.24%
ZFU26,"5-Year T-Note",107.3125,N/A,N/A,N/A,+0.25%,-0.14%,-1.77%,-1.77%,-1.77%,+0.41%,0.146875,+0.14%,1440687,1133779,-21.30%
CBON,"Vaneck Chinaamc China Bond ETF",23.84,21456000,23.84,0.50%,+0.04%,+2.67%,+4.33%,+6.67%,+4.38%,-0.10%,0.024999999999999,+0.10%,5410,300,-94.45%
