"Date","BTCUSD Open","BTCUSD Low","BTCUSD High","BTCUSD Close","BTCUSD Return","US10Y Open","US10Y Low","US10Y High","US10Y Close","US10YT Open","US10YT Low","US10YT High","US10YT Close","US5Y Open","US5Y Low","US5Y High","US5Y Close","US2Y Open","US2Y Low","US2Y High","US2Y Close","US30Y Open","US30Y Low","US30Y High","US30Y Close","MUB Open","MUB Low","MUB High","MUB Close","MUB Adj. Close","MBB Open","MBB Low","MBB High","MBB Close","MBB Adj. Close","AGG Open","AGG Low","AGG High","AGG Close","AGG Adj. Close","MUB Return","MBB Return","AGG Return","US10Y Return","US10YT Return","US5Y Return","US2Y Return","US30Y Return"
06-29-2023,30101.18,30024.83,30849.00,30393.74,0.0000,0.03714,0.03712,0.03868,0.03854,0.01569,0.01564,0.01675,0.01646,0.03972,0.03972,0.04155,0.04143,0.04718,0.04716,0.04892,0.04878,0.03811,0.03810,0.03927,0.03912,97.92,97.45,97.92,106.53,97.49,82.65,82.37,82.68,93.06,82.52,87.43,87.26,87.49,97.72,87.36,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
06-30-2023,30393.75,29375.60,31300.00,30389.65,-0.0001,0.03838,0.03803,0.03892,0.03819,0.01645,0.01588,0.01695,0.01625,0.04127,0.04101,0.04198,0.04133,0.04868,0.04835,0.04935,0.04877,0.03900,0.03835,0.03936,0.03854,97.71,97.60,97.72,106.73,97.68,82.68,82.47,82.77,93.27,82.71,87.48,87.38,87.70,97.95,87.56,0.0019,0.0022,0.0024,-0.0091,-0.0128,-0.0024,-0.0002,-0.0148
07-01-2023,30389.57,30312.80,30689.00,30588.55,0.0064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2023,30600.10,30165.39,30711.00,30591.70,0.0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-03-2023,30591.69,30419.00,31416.00,31120.63,0.0239,0.03845,0.03778,0.03868,0.03858,0.01645,0.01544,0.01695,0.01614,0.04170,0.04091,0.04200,0.04187,0.04918,0.04848,0.04963,0.04940,0.03866,0.03812,0.03882,0.03877,97.77,97.63,97.93,106.53,97.71,82.56,82.44,82.87,92.71,82.45,87.68,87.43,87.87,97.58,87.46,0.0023,-0.0009,0.0012,0.0010,-0.0194,0.0106,0.0127,-0.0089
07-04-2023,31122.27,30622.60,31347.00,30807.88,0.0136,0.03845,0.03841,0.03847,0.03841,0.01596,0.01596,0.01596,0.01596,0.04170,0.04163,0.04182,0.04163,0.04918,0.04906,0.04919,0.04906,0.03866,0.03857,0.03870,0.03857,,,,,,,,,,,,,,,,,,,-0.0034,-0.0304,0.0048,0.0058,-0.0141
07-05-2023,30807.87,30160.40,30898.00,30469.32,0.0025,0.03841,0.03831,0.03947,0.03945,0.01613,0.01586,0.01710,0.01697,0.04161,0.04147,0.04258,0.04255,0.04900,0.04882,0.04957,0.04951,0.03856,0.03854,0.03952,0.03944,97.74,97.49,97.81,106.29,97.49,82.37,81.96,82.38,92.21,82.00,87.40,86.99,87.42,97.14,87.07,0.0000,-0.0063,-0.0033,0.0236,0.0310,0.0270,0.0150,0.0082
07-06-2023,30470.00,29868.30,31631.00,30319.18,-0.0025,0.03938,0.03930,0.04083,0.04041,0.01717,0.01715,0.01839,0.01778,0.04249,0.04244,0.04497,0.04368,0.04947,0.04940,0.05120,0.05006,0.03932,0.03929,0.04022,0.04003,97.34,97.08,97.38,106.04,97.26,81.55,81.21,81.60,91.60,81.46,86.55,86.30,86.62,96.51,86.50,-0.0024,-0.0129,-0.0098,0.0485,0.0802,0.0543,0.0262,0.0233
07-07-2023,30322.78,29699.00,30469.00,30267.52,-0.0042,0.04031,0.04006,0.04094,0.04048,0.01780,0.01753,0.01836,0.01811,0.04352,0.04289,0.04438,0.04335,0.04991,0.04752,0.05030,0.04931,0.04001,0.03984,0.04061,0.04034,97.19,97.19,97.40,106.01,97.24,81.30,81.30,81.69,91.61,81.47,86.43,86.43,86.72,96.53,86.52,-0.0026,-0.0128,-0.0096,0.0503,0.1002,0.0463,0.0109,0.0312
07-08-2023,30266.08,30047.78,30406.00,30161.78,-0.0076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-09-2023,30157.70,30113.30,30474.00,30199.89,-0.0064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-10-2023,30199.44,29955.00,31060.00,30777.77,0.0126,0.04062,0.03986,0.04092,0.04006,0.01818,0.01748,0.01830,0.01757,0.04351,0.04232,0.04370,0.04246,0.04938,0.04853,0.04957,0.04862,0.04050,0.04024,0.04086,0.04042,97.25,97.23,97.40,106.11,97.33,81.56,81.51,81.94,91.83,81.66,86.56,86.54,86.89,96.80,86.76,-0.0017,-0.0104,-0.0068,0.0394,0.0674,0.0249,-0.0033,0.0332
