"Date","BTCUSD Return","BTCUSD Close","MBB Return","MBB Close","MBB Adj. Close","MUB Return","MUB Close","MUB Adj. Close","AGG Return","AGG Close","AGG Adj. Close","US10Y Return","US10Y Close","US10YT Return","US10YT Close","US5Y Return","US5Y Close","US30Y Return","US30Y Close","US2Y Return","US2Y Close"
06-29-2023,0.0000,30393.74,0.0000,93.06,82.52,0.0000,106.53,97.49,0.0000,97.72,87.36,0.0000,0.03854,0.0000,0.01646,0.0000,0.04143,0.0000,0.03912,0.0000,0.04878
06-30-2023,-0.0001,30389.65,0.0022,93.27,82.71,0.0019,106.73,97.68,0.0024,97.95,87.56,-0.0091,0.03819,-0.0128,0.01625,-0.0024,0.04133,-0.0148,0.03854,-0.0002,0.04877
07-01-2023,0.0064,30588.55,,,,,,,,,,,,,,,,,,,
07-02-2023,0.0065,30591.70,,,,,,,,,,,,,,,,,,,
07-03-2023,0.0239,31120.63,-0.0009,92.71,82.45,0.0023,106.53,97.71,0.0012,97.58,87.46,0.0010,0.03858,-0.0194,0.01614,0.0106,0.04187,-0.0089,0.03877,0.0127,0.04940
07-04-2023,0.0136,30807.88,,,,,,,,,,-0.0034,0.03841,-0.0304,0.01596,0.0048,0.04163,-0.0141,0.03857,0.0058,0.04906
07-05-2023,0.0025,30469.32,-0.0063,92.21,82.00,0.0000,106.29,97.49,-0.0033,97.14,87.07,0.0236,0.03945,0.0310,0.01697,0.0270,0.04255,0.0082,0.03944,0.0150,0.04951
07-06-2023,-0.0025,30319.18,-0.0129,91.60,81.46,-0.0024,106.04,97.26,-0.0098,96.51,86.50,0.0485,0.04041,0.0802,0.01778,0.0543,0.04368,0.0233,0.04003,0.0262,0.05006
07-07-2023,-0.0042,30267.52,-0.0128,91.61,81.47,-0.0026,106.01,97.24,-0.0096,96.53,86.52,0.0503,0.04048,0.1002,0.01811,0.0463,0.04335,0.0312,0.04034,0.0109,0.04931
07-08-2023,-0.0076,30161.78,,,,,,,,,,,,,,,,,,,
07-09-2023,-0.0064,30199.89,,,,,,,,,,,,,,,,,,,
07-10-2023,0.0126,30777.77,-0.0104,91.83,81.66,-0.0017,106.11,97.33,-0.0068,96.80,86.76,0.0394,0.04006,0.0674,0.01757,0.0249,0.04246,0.0332,0.04042,-0.0033,0.04862
07-11-2023,0.0059,30574.51,-0.0068,92.17,81.97,-0.0007,106.22,97.43,-0.0047,97.01,86.95,0.0332,0.03982,0.0687,0.01759,0.0232,0.04239,0.0279,0.04021,0.0037,0.04896
07-12-2023,-0.0014,30352.30,0.0027,93.05,82.75,0.0026,106.57,97.75,0.0034,97.80,87.66,0.0018,0.03861,-0.0273,0.01601,-0.0176,0.04070,0.0100,0.03951,-0.0279,0.04742
