"Date","HYG Return","LQD Return","JNK Return","IEF Return"
05-29-2026,0.0000,0.0000,0.0000,0.0000
06-01-2026,-0.0059,-0.0039,-0.0062,-0.0017
06-02-2026,-0.0051,-0.0040,-0.0058,-0.0010
06-03-2026,-0.0078,-0.0068,-0.0080,-0.0035
06-04-2026,-0.0060,-0.0047,-0.0064,-0.0023
06-05-2026,-0.0110,-0.0109,-0.0107,-0.0076
06-08-2026,-0.0096,-0.0119,-0.0100,-0.0086
06-09-2026,-0.0086,-0.0087,-0.0088,-0.0059
06-10-2026,-0.0105,-0.0110,-0.0107,-0.0068
06-11-2026,-0.0046,-0.0026,-0.0051,0.0001
06-12-2026,-0.0046,-0.0032,-0.0049,-0.0016
06-15-2026,-0.0034,-0.0034,-0.0033,-0.0006
06-16-2026,-0.0035,-0.0022,-0.0035,0.0020
06-17-2026,-0.0072,-0.0054,-0.0073,-0.0033
06-18-2026,-0.0037,-0.0027,-0.0039,0.0003
06-22-2026,-0.0046,-0.0053,-0.0049,-0.0035
06-23-2026,-0.0055,-0.0041,-0.0054,-0.0023
06-24-2026,-0.0057,0.0005,-0.0060,0.0042
06-25-2026,-0.0054,0.0013,-0.0051,0.0048
06-26-2026,-0.0060,0.0013,-0.0057,0.0074
06-29-2026,-0.0054,0.0021,-0.0056,0.0070
