Type,High,Low,Latest,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,High,Low,Latest,Change,Volume,"Open Int",IV,"Last Trade"
Call,9.10,9.10,9.10,unch,0,2,109.90%,N/A,41.00,Put,0.20,0.15,0.15,unch,0,17,82.79%,N/A
Call,0.00,0.00,0.00,unch,0,0,101.33%,N/A,41.50,Put,0.15,0.15,0.15,unch,0,6,75.66%,06/26/26
Call,0.00,0.00,0.00,unch,0,0,97.94%,N/A,42.00,Put,0.28,0.28,0.28,unch,0,1,68.49%,N/A
Call,0.00,0.00,0.00,unch,0,0,88.96%,N/A,42.50,Put,0.00,0.00,0.00,unch,0,0,64.98%,N/A
Call,0.00,0.00,0.00,unch,0,0,96.94%,N/A,43.00,Put,0.15,0.14,0.15,unch,0,1,60.55%,N/A
Call,0.00,0.00,0.00,unch,0,0,86.75%,N/A,43.50,Put,0.25,0.25,0.25,+0.25,11,1,60.36%,"10:11 ET"
Call,3.30,2.47,3.30,unch,0,10,68.82%,06/26/26,44.00,Put,0.30,0.30,0.30,+0.30,10,8,57.99%,"10:06 ET"
Call,0.00,0.00,0.00,unch,0,0,67.11%,N/A,44.50,Put,0.40,0.35,0.35,+0.40,254,0,55.71%,"10:37 ET"
Call,2.24,2.10,2.12,unch,0,39,61.95%,06/26/26,45.00,Put,0.50,0.45,0.50,-0.25,99,23,49.81%,"10:32 ET"
Call,0.00,0.00,0.00,unch,0,0,62.75%,N/A,45.50,Put,0.55,0.55,0.55,-0.15,1,27,51.31%,"09:37 ET"
Call,1.55,1.38,1.55,unch,0,43,55.14%,06/26/26,46.00,Put,1.55,1.30,1.30,unch,0,16,49.87%,N/A
Call,0.65,0.65,0.65,-0.52,5,106,52.48%,"09:56 ET",46.50,Put,1.28,1.28,1.28,unch,0,3,45.34%,N/A
Call,0.95,0.80,0.95,unch,0,183,56.80%,06/26/26,47.00,Put,1.75,0.95,1.75,unch,0,24,50.80%,N/A
Call,0.75,0.65,0.65,unch,0,11,49.57%,06/26/26,47.50,Put,1.50,1.50,1.50,unch,0,12,39.48%,06/26/26
Call,0.20,0.15,0.20,-0.18,4,65,50.73%,"10:28 ET",48.00,Put,2.35,2.35,2.35,+0.39,5,94,49.38%,"10:17 ET"
Call,0.50,0.50,0.50,unch,0,12,49.15%,N/A,48.50,Put,0.00,0.00,0.00,unch,0,0,0.00%,N/A
Call,0.22,0.17,0.22,unch,0,7,51.63%,N/A,49.00,Put,0.00,0.00,0.00,unch,0,0,0.00%,N/A
Call,3.40,3.40,3.40,unch,0,1,52.60%,N/A,49.50,Put,1.80,1.80,1.80,unch,0,6,0.00%,N/A
Call,0.05,0.03,0.05,-0.02,4,216,57.92%,"09:44 ET",50.00,Put,3.30,2.60,3.30,unch,0,159,0.00%,N/A
Call,0.06,0.05,0.06,unch,0,98,60.36%,06/26/26,51.00,Put,4.60,4.60,4.60,unch,0,10,0.00%,N/A
"Downloaded from Barchart.com as of 06-29-2026 09:59am CDT"
