Symbol,Name,Latest,Change,%Change,High,Low,Volume,"Imp Vol","1M IV","3M IV",IV/HV,"5D/1M IV%","IV Rank","1M IV Rank ","IV Pctl","1M IV Pctl","Options Vol","5D Total Vol","Total OI","Call Open Int","Put Open Int","P/C OI","Exp Move"
^BTCUSD,"Bitcoin - USD",59189.98,-414.,-0.69%,60702.63,58800,26435,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
^ETHUSD,"Ethereum - USD",1563.79,-4.47,-0.29%,1594.44,1545.14,164093,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
^XRPUSD,"XRP - USD",1.0417,-0.0013,-0.12%,1.0647,1.0306,118370214,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
^SOLUSD,"Solana - USD",72.87,0.81,+1.12%,74.42,69.71,2030907,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
IBIT,"Ishares Bitcoin Trust ETF",33.51,-0.34,-1.00%,34.09,33.33,19220316,44.84%,42.94%,42.04%,1.1205468164794,102.69%,23.55%,49.46%,62%,55%,191928,693301,6140986,3340612,2800374,0.8382817280187,0.765
GBTC,"Grayscale Bitcoin Trust ETF",45.89,-0.39,-0.84%,46.68,45.67,653213,44.45%,43.25%,42.21%,1.1364907851553,103.56%,25.69%,46.02%,62%,50%,637,1614,45405,36210,9195,0.25393537696769,1.3175
SOFR,"Amplify Samsung SOFR ETF",100.11,-0.29,-0.29%,100.11,100.11,367,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
$HSI,"Hang Seng Index",22671.86,-405.05,-1.76%,23076.91,22518,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
$VHSI,"Hang Seng Volatility Index",25.82,1.27,+5.17%,26.88,23.97,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
$VXHY,"High Yield Corporate Bond VIX",5.89,0.41,+7.48%,6.34,5.48,N/A,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
CBON,"Vaneck Chinaamc China Bond ETF",23.87,0.030000000000001,+0.13%,23.87,23.78,386,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
KHYB,"KS Ccbs China Corp High Yield Bond USD ETF",24.035,0.038900000000002,+0.16%,24.06,24.02,3864,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ASHR,"Xt Harvest CSI 300 China A-Shares ETF",36.04,0.17,+0.47%,36.155,35.94,853837,26.60%,20.73%,20.48%,1.1177223154362,120.74%,17.97%,100.00%,96%,95%,2338,21141,551539,276267,275272,0.99639841168145,0.7735
DXY00,"U.S. Dollar Index",101.169,-0.188,-0.19%,101.394,101.151,N/A,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
DXM26,"U.S. Dollar Index",99.474,-0.271,-0.27%,99.6,99.445,411,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
E6M26,"Euro FX",1.16145,0.0039500000000001,+0.34%,1.16205,1.1595,12049,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
J6M26,"Japanese Yen",0.0062475,0.000006,+0.10%,0.00626,0.0062415,3315,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
A6M26,"Australian Dollar",0.70745,0.0027,+0.38%,0.7089,0.7066,1100,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
GCY00,Gold,4025.36,-46.59,-1.14%,4085.27,4002.65,133016,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
GCN26,Gold,4017.3,-62.2,-1.52%,4070,4003.2,474,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
