"Date","CN10Y Return","USDCNH Return","CN2Y Return","CHINAINTRAT Return","KHYB Return"
06-30-2025,0.0061,-0.0020,0.0074,0.0000,0.0021
07-01-2025,0.0000,-0.0015,0.0074,-0.0012,0.0033
07-02-2025,0.0000,-0.0015,0.0000,-0.0064,0.0023
07-03-2025,0.0000,-0.0003,0.0000,-0.0147,0.0038
07-04-2025,0.0000,-0.0010,-0.0074,-0.0202,
07-07-2025,0.0000,0.0010,-0.0074,-0.0313,0.0025
07-08-2025,0.0000,0.0013,0.0000,-0.0368,0.0017
07-09-2025,0.0000,0.0017,0.0074,-0.0417,0.0033
07-10-2025,0.0061,0.0008,0.0147,-0.0436,0.0033
07-11-2025,0.0122,0.0003,0.0221,-0.0448,0.0033
07-14-2025,0.0195,0.0001,0.0397,-0.0423,0.0038
07-15-2025,0.0244,0.0016,0.0449,-0.0436,0.0029
07-16-2025,0.0134,0.0011,0.0294,-0.0436,0.0054
07-17-2025,0.0134,0.0018,0.0287,-0.0448,0.0061
07-18-2025,0.0152,0.0013,0.0265,-0.0460,0.0059
07-21-2025,0.0213,-0.0001,0.0294,-0.0472,0.0077
07-22-2025,0.0293,-0.0003,0.0243,-0.0497,0.0096
07-23-2025,0.0390,-0.0028,0.0412,-0.0485,0.0113
07-24-2025,0.0537,-0.0024,0.0713,-0.0472,0.0117
07-25-2025,0.0604,-0.0005,0.0743,-0.0436,0.0144
07-28-2025,0.0579,0.0014,0.0596,-0.0429,0.0142
07-29-2025,0.0585,0.0013,0.0544,-0.0429,0.0146
07-30-2025,0.0585,0.0056,0.0699,-0.0405,0.0136
07-31-2025,0.0579,0.0053,0.0574,-0.0393,0.0152
08-01-2025,0.0427,0.0029,0.0500,-0.0411,0.0159
08-04-2025,0.0427,0.0016,0.0596,-0.0436,0.0157
08-05-2025,0.0396,0.0024,0.0478,-0.0442,0.0162
08-06-2025,0.0470,0.0018,0.0522,-0.0436,0.0180
08-07-2025,0.0354,0.0011,0.0353,-0.0429,0.0181
08-08-2025,0.0366,0.0025,0.0404,-0.0464,0.0203
08-11-2025,0.0451,0.0033,0.0375,-0.0497,0.0199
08-12-2025,0.0537,0.0020,0.0412,-0.0503,0.0226
08-13-2025,0.0567,0.0013,0.0434,-0.0503,0.0232
08-14-2025,0.0591,0.0014,0.0404,-0.0497,0.0237
08-15-2025,0.0659,0.0024,0.0404,-0.0509,0.0242
08-18-2025,0.0787,0.0022,0.0493,-0.0497,0.0254
08-19-2025,0.0848,0.0023,0.0529,-0.0491,0.0252
08-20-2025,0.0909,0.0014,0.0574,-0.0491,0.0249
08-21-2025,0.0817,0.0016,0.0500,-0.0491,0.0252
08-22-2025,0.0909,0.0000,0.0574,-0.0491,0.0281
08-25-2025,0.0878,-0.0019,0.0559,-0.0491,0.0270
08-26-2025,0.0805,-0.0026,0.0441,-0.0491,0.0283
08-27-2025,0.0805,-0.0028,0.0404,-0.0491,0.0281
08-28-2025,0.0890,-0.0071,0.0397,-0.0491,0.0299
