"Date","USHYCORPTR Return","USHGCORPTR Return"
06-29-2023,0.0000,0.0000
06-30-2023,0.0031,0.0043
07-03-2023,0.0039,0.0025
07-04-2023,0.0041,0.0026
07-05-2023,0.0024,-0.0006
07-06-2023,-0.0043,-0.0078
07-07-2023,-0.0027,-0.0085
07-10-2023,-0.0010,-0.0056
07-11-2023,0.0022,-0.0031
07-12-2023,0.0111,0.0051
07-13-2023,0.0153,0.0115
07-14-2023,0.0142,0.0076
07-17-2023,0.0129,0.0078
07-18-2023,0.0153,0.0096
07-19-2023,0.0166,0.0138
07-20-2023,0.0134,0.0078
07-21-2023,0.0144,0.0086
07-24-2023,0.0157,0.0079
07-25-2023,0.0148,0.0076
07-26-2023,0.0146,0.0099
07-27-2023,0.0149,0.0033
07-28-2023,0.0153,0.0066
07-31-2023,0.0174,0.0087
08-01-2023,0.0145,0.0029
08-02-2023,0.0104,-0.0011
08-03-2023,0.0077,-0.0088
08-04-2023,0.0112,-0.0007
08-07-2023,0.0128,-0.0026
08-08-2023,0.0134,0.0010
08-09-2023,0.0152,0.0020
08-10-2023,0.0167,-0.0038
08-11-2023,0.0145,-0.0067
08-14-2023,0.0140,-0.0076
08-15-2023,0.0124,-0.0099
08-16-2023,0.0120,-0.0136
08-17-2023,0.0075,-0.0151
08-18-2023,0.0060,-0.0137
08-21-2023,0.0054,-0.0183
08-22-2023,0.0066,-0.0164
08-23-2023,0.0110,-0.0068
08-24-2023,0.0100,-0.0084
08-25-2023,0.0101,-0.0080
08-28-2023,0.0128,-0.0059
08-29-2023,0.0166,-0.0003
08-30-2023,0.0191,0.0000
08-31-2023,0.0203,0.0018
09-01-2023,0.0201,-0.0035
09-04-2023,0.0207,-0.0031
09-05-2023,0.0177,-0.0084
09-06-2023,0.0151,-0.0101
09-07-2023,0.0159,-0.0076
09-08-2023,0.0171,-0.0063
09-11-2023,0.0184,-0.0076
09-12-2023,0.0179,-0.0068
09-13-2023,0.0188,-0.0062
09-14-2023,0.0205,-0.0077
09-15-2023,0.0192,-0.0096
09-18-2023,0.0185,-0.0081
09-19-2023,0.0169,-0.0104
09-20-2023,0.0176,-0.0096
09-21-2023,0.0119,-0.0170
09-22-2023,0.0127,-0.0128
09-25-2023,0.0101,-0.0189
09-26-2023,0.0074,-0.0200
09-27-2023,0.0058,-0.0236
09-28-2023,0.0058,-0.0229
09-29-2023,0.0083,-0.0229
09-30-2023,0.0085,-0.0228
10-02-2023,0.0028,-0.0297
10-03-2023,-0.0051,-0.0379
10-04-2023,-0.0056,-0.0330
10-05-2023,-0.0048,-0.0330
10-06-2023,-0.0052,-0.0370
10-09-2023,-0.0047,-0.0367
10-10-2023,0.0038,-0.0272
10-11-2023,0.0043,-0.0219
10-12-2023,0.0011,-0.0300
10-13-2023,0.0015,-0.0252
10-16-2023,0.0004,-0.0298
10-17-2023,-0.0033,-0.0364
10-18-2023,-0.0068,-0.0410
10-19-2023,-0.0089,-0.0465
10-20-2023,-0.0108,-0.0441
10-23-2023,-0.0086,-0.0397
10-24-2023,-0.0050,-0.0358
10-25-2023,-0.0065,-0.0422
10-26-2023,-0.0076,-0.0369
10-27-2023,-0.0072,-0.0368
10-30-2023,-0.0069,-0.0390
10-31-2023,-0.0040,-0.0406
11-01-2023,-0.0009,-0.0323
11-02-2023,0.0110,-0.0243
11-03-2023,0.0198,-0.0181
11-06-2023,0.0195,-0.0217
11-07-2023,0.0183,-0.0173
11-08-2023,0.0189,-0.0127
11-09-2023,0.0163,-0.0205
11-10-2023,0.0168,-0.0185
11-13-2023,0.0174,-0.0176
11-14-2023,0.0272,-0.0052
11-15-2023,0.0257,-0.0100
11-16-2023,0.0250,-0.0044
11-17-2023,0.0260,-0.0023
11-20-2023,0.0286,0.0006
11-21-2023,0.0289,0.0017
11-22-2023,0.0306,0.0032
11-23-2023,0.0307,0.0033
11-24-2023,0.0305,-0.0001
11-27-2023,0.0327,0.0069
11-28-2023,0.0356,0.0097
11-29-2023,0.0419,0.0166
11-30-2023,0.0413,0.0136
12-01-2023,0.0448,0.0219
12-04-2023,0.0455,0.0199
12-05-2023,0.0477,0.0263
12-06-2023,0.0492,0.0303
12-07-2023,0.0500,0.0287
12-08-2023,0.0478,0.0248
12-11-2023,0.0474,0.0247
12-12-2023,0.0490,0.0275
12-13-2023,0.0556,0.0410
12-14-2023,0.0693,0.0523
12-15-2023,0.0682,0.0515
12-18-2023,0.0684,0.0488
12-19-2023,0.0709,0.0501
12-20-2023,0.0738,0.0532
12-21-2023,0.0745,0.0510
12-22-2023,0.0758,0.0502
12-26-2023,0.0766,0.0515
12-27-2023,0.0800,0.0591
12-28-2023,0.0798,0.0568
12-29-2023,0.0795,0.0544
