Type,High,Low,Latest,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,High,Low,Latest,Change,Volume,"Open Int",IV,"Last Trade"
Call,6.05,5.68,5.99,unch,0,26,0.00%,06/26/26,28.00,Put,0.01,0.01,0.01,-0.01,1,"2,128",139.42%,"09:30 ET"
Call,5.05,4.79,4.80,unch,0,10,0.00%,06/26/26,29.00,Put,0.01,0.01,0.01,-0.01,1,984,114.71%,"09:30 ET"
Call,3.86,3.56,3.56,-0.24,53,0,150.91%,"10:05 ET",30.00,Put,0.02,0.01,0.01,-0.02,33,"2,528",90.36%,"10:13 ET"
Call,3.40,3.13,3.13,-0.31,53,8,155.96%,"10:05 ET",30.50,Put,0.01,0.01,0.01,-0.03,51,"1,133",78.26%,"09:56 ET"
Call,2.94,2.49,2.94,unch,0,32,0.00%,06/26/26,31.00,Put,0.01,0.01,0.01,-0.04,27,"1,359",66.16%,"10:29 ET"
Call,2.18,2.14,2.14,-0.40,4,7,118.59%,"09:55 ET",31.50,Put,0.03,0.01,0.02,-0.04,273,"9,722",70.91%,"10:29 ET"
Call,2.04,1.45,1.49,-0.49,6,67,0.00%,"10:24 ET",32.00,Put,0.04,0.01,0.01,-0.08,"5,048","10,866",60.27%,"10:34 ET"
Call,1.05,0.98,1.05,-0.43,10,36,38.92%,"10:27 ET",32.50,Put,0.07,0.01,0.03,-0.11,"4,020","1,847",49.88%,"10:33 ET"
Call,1.01,0.50,0.70,-0.33,148,223,40.79%,"10:28 ET",33.00,Put,0.16,0.02,0.05,-0.18,"8,664","7,033",43.15%,"10:41 ET"
Call,0.61,0.20,0.30,-0.41,"1,088","2,154",35.38%,"10:40 ET",33.50,Put,0.33,0.07,0.15,-0.23,"3,598","5,740",37.27%,"10:39 ET"
Call,0.27,0.04,0.08,-0.27,"4,997","2,392",32.77%,"10:41 ET",34.00,Put,0.73,0.22,0.38,-0.20,904,"8,152",36.51%,"10:34 ET"
Call,0.10,0.01,0.02,-0.16,"5,133","4,523",36.52%,"10:38 ET",34.50,Put,1.14,0.54,0.98,+0.11,115,887,49.97%,"10:26 ET"
Call,0.04,0.01,0.01,-0.07,351,"4,917",41.36%,"10:29 ET",35.00,Put,1.56,0.99,1.56,+0.30,6,"2,112",51.16%,"10:24 ET"
Call,0.04,0.01,0.01,-0.03,108,"7,364",52.28%,"10:39 ET",35.50,Put,1.53,1.53,1.53,-0.17,4,"1,656",74.68%,"09:32 ET"
Call,0.01,0.01,0.01,-0.02,8,"2,664",62.76%,"10:30 ET",36.00,Put,2.60,2.29,2.60,+0.48,106,167,88.10%,"10:17 ET"
Call,0.03,0.01,0.03,unch,0,733,72.88%,06/26/26,36.50,Put,2.83,2.48,2.65,unch,0,153,112.72%,06/26/26
Call,0.01,0.01,0.01,unch,34,392,82.67%,"09:30 ET",37.00,Put,3.40,3.01,3.01,unch,0,79,98.76%,06/26/26
Call,0.02,0.01,0.01,unch,0,508,92.20%,06/26/26,37.50,Put,3.84,3.53,3.65,unch,0,21,109.63%,06/26/26
Call,0.01,0.01,0.01,unch,12,691,101.48%,"10:23 ET",38.00,Put,4.32,4.20,4.21,unch,0,2,120.20%,06/26/26
Call,0.01,0.01,0.01,-0.01,2,443,110.53%,"10:27 ET",38.50,Put,4.95,4.75,4.82,unch,0,14,130.49%,N/A
"Downloaded from Barchart.com as of 06-29-2026 09:57am CDT"
