"Date","BTCUSD Return","BTCUSD Close","JAAA Return","JAAA Close","JAAA Adj. Close","BKLN Return","BKLN Close","BKLN Adj. Close","CWB Return","CWB Close","CWB Adj. Close","XLRE Return","XLRE Close","XLRE Adj. Close","SPY Return","SPY Close","SPY Adj. Close"
06-29-2023,0.0000,30393.74,0.0000,49.84,41.90,0.0000,20.99,16.66,0.0000,69.64,65.90,0.0000,37.50,33.85,0.0000,438.11,422.08
06-30-2023,-0.0001,30389.65,0.0002,49.85,41.90,0.0024,21.04,16.70,0.0045,69.95,66.19,0.0051,37.69,34.02,0.0118,443.28,427.06
07-01-2023,0.0064,30588.55,,,,,,,,,,,,,,,
07-02-2023,0.0065,30591.70,,,,,,,,,,,,,,,
07-03-2023,0.0239,31120.63,0.0003,49.60,41.91,0.0043,21.08,16.73,0.0114,70.35,66.65,0.0131,37.99,34.29,0.0130,443.79,427.55
07-04-2023,0.0136,30807.88,,,,,,,,,,,,,,,
07-05-2023,0.0025,30469.32,0.0011,49.64,41.94,0.0033,21.06,16.72,0.0119,70.38,66.68,0.0181,38.18,34.46,0.0115,443.13,426.91
07-06-2023,-0.0025,30319.18,0.0009,49.63,41.93,0.0000,20.99,16.66,0.0005,69.59,65.93,0.0125,37.97,34.28,0.0035,439.66,423.57
07-07-2023,-0.0042,30267.52,0.0014,49.66,41.95,0.0005,21.00,16.67,0.0024,69.72,66.05,0.0077,37.79,34.11,0.0010,438.55,422.50
07-08-2023,-0.0076,30161.78,,,,,,,,,,,,,,,
07-09-2023,-0.0064,30199.89,,,,,,,,,,,,,,,
07-10-2023,0.0126,30777.77,0.0023,49.70,41.99,0.0014,21.02,16.69,0.0110,70.32,66.62,0.0112,37.92,34.23,0.0035,439.66,423.57
07-11-2023,0.0059,30574.51,0.0027,49.72,42.01,0.0043,21.08,16.73,0.0159,70.66,66.94,0.0227,38.35,34.62,0.0099,442.46,426.27
