"Date","SPY Flow (D)","HYG Flow (D)","LQD Flow (D)","JAAA Flow (D)","BKLN Flow (D)","MCHI Flow (D)","SPY AUM","HYG AUM","LQD AUM","JAAA AUM","BKLN AUM","MCHI AUM"
06-29-2023,2485.47,-678.90,518.32,12.44,4.18,0.00,417584.85,14505.42,36724.67,3158.49,3841.61,7595.27
06-30-2023,766.59,476.81,246.26,19.90,75.41,0.00,423496.37,15043.57,37237.29,3180.30,3925.01,7651.82
07-03-2023,1152.94,37.40,-269.60,14.93,0.00,0.00,425163.73,15015.47,36760.02,3181.11,3929.42,7785.23
07-05-2023,-5238.89,-700.13,53.62,0.00,21.01,0.00,419147.99,14278.42,36610.40,3181.75,3953.09,7721.53
07-06-2023,1506.72,-1136.63,-767.83,9.91,-4.21,0.00,417353.99,13036.96,35477.17,3191.66,3950.04,7546.05
07-07-2023,1670.77,14.74,-95.00,2.48,4.21,0.00,417892.12,13083.30,35358.50,3196.72,3958.55,7680.55
07-10-2023,1841.65,347.21,-284.81,0.00,0.00,-26.98,420744.18,13464.44,35180.96,3197.36,3962.04,7652.53
07-11-2023,-2373.53,533.24,169.29,9.92,14.75,0.00,421196.31,14044.25,35495.75,3207.29,3981.27,7727.71
07-12-2023,3473.71,1441.58,95.62,7.44,27.43,0.00,427823.17,15636.44,35963.25,3217.32,4017.08,7895.37
07-13-2023,-2206.69,210.09,85.88,24.82,29.60,0.00,429263.50,15921.95,36317.78,3246.06,4050.52,8056.37
07-14-2023,-6204.71,-429.71,292.01,0.00,33.86,0.00,422635.08,15451.69,36406.69,3248.02,4086.26,7957.85
07-17-2023,-808.50,180.46,75.29,22.38,0.00,0.00,423452.36,15604.52,36449.28,3273.69,4082.74,7902.11
07-18-2023,-157.81,217.67,32.24,0.00,21.15,0.00,426305.78,15858.76,36586.76,3274.35,4101.80,7755.15
07-19-2023,-726.57,-285.88,53.88,0.00,8.46,0.00,426586.27,15593.77,36841.79,3275.66,4109.79,7777.68
07-20-2023,3732.47,-670.46,-43.34,0.00,-44.40,0.00,427454.99,14860.89,36502.25,3281.58,4065.39,7749.61
07-21-2023,180.86,60.01,397.70,9.98,-4.23,0.00,427769.80,14947.69,36951.61,3294.86,4063.66,7746.18
07-24-2023,-3505.26,37.58,43.05,44.96,0.00,0.00,425981.75,15002.40,36971.36,3341.16,4032.82,7871.12
07-25-2023,726.60,346.09,-75.30,0.00,0.00,0.00,427914.36,15331.56,36907.11,3341.83,4034.78,8008.13
07-26-2023,1411.76,-405.84,-150.64,10.00,0.00,-47.05,429266.51,14931.40,36863.05,3357.86,4033.88,8044.53
07-27-2023,1753.07,150.37,21.58,0.00,10.50,0.00,428282.65,15065.74,36557.25,3359.88,4043.30,7970.96
