Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
BTF23,2023-01-03,16675,16765,16525,16615,80,+0.48%,4214,14530
BTF23,2023-01-04,16625,17015,16610,16780,165,+0.99%,7651,13688
BTF23,2023-01-05,16810,16890,16715,16840,60,+0.36%,3581,13726
BTF23,2023-01-06,16825,17085,16645,16895,55,+0.33%,6394,13795
BTF23,2023-01-09,16980,17440,16955,17225,330,+1.95%,7879,14029
BTF23,2023-01-10,17180,17555,17135,17535,310,+1.80%,5301,14891
BTF23,2023-01-11,17490,17635,17330,17615,80,+0.46%,4892,14870
BTF23,2023-01-12,17625,19200,17615,19155,1540,+8.74%,14842,15849
BTF23,2023-01-13,18945,19995,18785,19550,395,+2.06%,7855,16003
BTF23,2023-01-17,20985,21725,20685,21485,1935,+9.90%,14106,15885
BTF23,2023-01-18,21325,21795,20460,20800,-685.,-3.19%,14095,15946
BTF23,2023-01-19,20905,21275,20730,21200,400,+1.92%,6018,16356
BTF23,2023-01-20,21155,22525,20935,22390,1190,+5.61%,11160,16879
BTF23,2023-01-23,22605,23240,22585,23090,700,+3.13%,15444,16847
BTF23,2023-01-24,22990,23210,22775,23065,-25.,-0.11%,13636,17390
BTF23,2023-01-25,22770,23770,22345,22940,-125.,-0.54%,19953,17620
BTG23,2023-01-26,23200,23465,23030,23335,395,+1.72%,21603,18528
BTG23,2023-01-27,23270,23750,22760,23320,-15.,-0.06%,8448,17584
BTG23,2023-01-30,23900,24080,22715,22825,-495.,-2.12%,6089,17302
BTG23,2023-01-31,22870,23410,22850,23250,425,+1.86%,3670,17542
BTG23,2023-02-01,23335,23965,22905,23755,505,+2.17%,6148,17838
BTG23,2023-02-02,23940,24450,23550,24005,250,+1.05%,8287,17439
BTG23,2023-02-03,23665,23890,23340,23485,-520.,-2.17%,7083,17029
BTG23,2023-02-06,23100,23275,22755,23110,-375.,-1.60%,5186,16735
BTG23,2023-02-07,22960,23460,22725,23300,190,+0.82%,6465,16843
BTG23,2023-02-08,23300,23545,22695,22885,-415.,-1.78%,6034,16323
BTG23,2023-02-09,23015,23090,21720,22010,-875.,-3.82%,10767,16080
BTG23,2023-02-10,21825,21970,21505,21775,-235.,-1.07%,6865,15581
BTG23,2023-02-13,21820,21930,21380,21710,-65.,-0.30%,7759,14931
BTG23,2023-02-14,21700,22375,21575,22335,625,+2.88%,9110,15158
BTG23,2023-02-15,22270,24415,22100,24250,1915,+8.57%,11901,15989
BTG23,2023-02-16,24285,25345,24245,24640,390,+1.61%,19107,16566
BTG23,2023-02-17,24080,25095,23430,24870,230,+0.93%,14901,16341
BTG23,2023-02-21,24505,25335,23905,24490,-380.,-1.53%,26002,16501
BTG23,2023-02-22,24395,24495,23590,23800,-690.,-2.82%,20884,15688
BTH23,2023-02-23,24320,24790,23815,24170,370,+1.55%,20078,15825
BTH23,2023-02-24,24075,24365,22965,23345,-825.,-3.41%,12395,14830
BTH23,2023-02-27,23565,24060,23235,23445,100,+0.43%,7052,14731
BTH23,2023-02-28,23585,23780,23150,23410,-35.,-0.15%,5034,15161
BTH23,2023-03-01,23275,24165,23140,23530,120,+0.51%,6453,14865
BTH23,2023-03-02,23645,23925,23300,23590,60,+0.25%,4880,14550
BTH23,2023-03-03,23560,23620,22020,22320,-1270.,-5.38%,12568,13215
BTH23,2023-03-06,22455,22665,22300,22390,70,+0.31%,4939,12769
BTH23,2023-03-07,22455,22600,21940,22070,-320.,-1.43%,7174,12821
BTH23,2023-03-08,22100,22300,21880,22115,45,+0.20%,6643,12817
BTH23,2023-03-09,21800,21850,19960,20065,-2050.,-9.27%,14417,13981
BTH23,2023-03-10,20300,20330,19520,19965,-100.,-0.50%,14523,13720
BTH23,2023-03-13,21250,24620,21110,24405,4440,+22.24%,29162,13302
BTH23,2023-03-14,24230,26615,24030,25240,835,+3.42%,17303,13472
BTH23,2023-03-15,24655,25440,24005,24490,-750.,-2.97%,14769,12938
BTH23,2023-03-16,24610,25300,24250,25090,600,+2.45%,7191,12820
BTH23,2023-03-17,25040,27155,24985,27000,1910,+7.61%,14232,13115
BTH23,2023-03-20,28095,28715,27320,27945,945,+3.50%,10486,13311
BTH23,2023-03-21,28150,28680,27550,28310,365,+1.31%,7044,14049
BTH23,2023-03-22,28210,29045,26690,26800,-1510.,-5.33%,12149,14163
BTH23,2023-03-23,27200,28935,27075,28550,1750,+6.53%,12954,14670
BTH23,2023-03-24,28385,28570,27480,27915,-635.,-2.22%,6900,14522
BTH23,2023-03-27,27960,28240,26520,26980,-935.,-3.35%,14854,13971
BTH23,2023-03-28,27175,27550,26650,27455,475,+1.76%,16308,14409
BTH23,2023-03-29,27170,28685,27170,28440,985,+3.59%,16139,14667
BTJ23,2023-03-30,28590,29415,27915,28220,-220.,-0.77%,17622,15268
BTJ23,2023-03-31,28335,29155,27745,28740,520,+1.84%,6967,14038
BTJ23,2023-04-03,28540,28775,27595,28265,-475.,-1.65%,8089,13571
BTJ23,2023-04-04,27930,28650,27855,28375,110,+0.39%,7252,13380
BTJ23,2023-04-05,28390,28985,27935,28385,10,+0.04%,8623,13300
BTJ23,2023-04-06,28350,28360,27765,28140,-245.,-0.86%,5454,13524
BTJ23,2023-04-07,28105,28215,27870,28045,-95.,-0.34%,1315,13481
BTJ23,2023-04-10,28505,29670,28265,29420,1375,+4.90%,10549,15626
BTJ23,2023-04-11,29445,30775,29435,30325,905,+3.08%,9165,15977
BTJ23,2023-04-12,30365,30710,29800,29925,-400.,-1.32%,6101,15560
BTJ23,2023-04-13,30035,30900,29940,30530,605,+2.02%,6326,15743
BTJ23,2023-04-14,30445,31200,30065,30470,-60.,-0.20%,7620,15147
BTJ23,2023-04-17,30585,30585,29285,29550,-920.,-3.02%,7191,14801
