"Date","BTCUSD Return","BTCUSD Open","BTCUSD Low","BTCUSD High","BTCUSD Close","ETHUSD Return","ETHUSD Open","ETHUSD Low","ETHUSD High","ETHUSD Close","SOLUSD Return","SOLUSD Open","SOLUSD Low","SOLUSD High","SOLUSD Close","XRPUSD Return","XRPUSD Open","XRPUSD Low","XRPUSD High","XRPUSD Close","GC1 Return","GC1 Open","GC1 Low","GC1 High","GC1 Close"
06-29-2025,0.0000,107206.30,107206.20,108590.00,107400.38,0.0000,2430.63,2425.60,2464.99,2433.10,0.0000,150.1400,149.4100,152.6200,150.8400,0.0000,2.1810,2.1764,2.1988,2.1824,,,,,
06-30-2025,0.0019,107449.00,106724.76,108800.00,107605.18,0.0290,2433.10,2413.10,2526.27,2503.72,0.0385,150.8500,149.4800,163.9000,156.6500,0.0520,2.1826,2.1646,2.3300,2.2958,0.0107,3223.15,3223.15,3309.59,3303.27
07-01-2025,-0.0136,107604.50,105262.00,107710.00,105938.82,-0.0073,2502.77,2391.71,2505.90,2415.30,-0.0290,156.6500,144.7400,156.9900,146.4700,-0.0049,2.2958,2.1480,2.2990,2.1718,0.0214,3303.72,3302.49,3358.16,3338.29
07-02-2025,0.0168,105955.90,105116.40,109900.00,109199.72,0.0649,2415.58,2372.62,2611.50,2590.92,0.0137,146.6200,145.8600,154.2000,152.9100,0.0329,2.1717,2.1574,2.2930,2.2543,0.0273,3339.20,3327.66,3360.18,3357.59
07-03-2025,0.0241,109199.73,108574.31,110700.00,109988.77,0.0685,2591.18,2557.21,2639.50,2599.84,0.0133,152.9300,149.9500,156.5200,152.8500,0.0435,2.2540,2.2250,2.3152,2.2774,0.0177,3355.97,3311.74,3365.77,3326.27
07-04-2025,0.0030,109939.50,107268.84,110140.00,107718.32,0.0239,2599.96,2475.00,2606.80,2491.18,-0.0262,152.8500,145.2500,153.9800,146.8900,0.0174,2.2775,2.1972,2.2818,2.2204,0.0204,3325.39,3323.65,3345.16,3335.07
07-05-2025,0.0068,107774.00,107715.11,108540.00,108135.04,0.0305,2490.96,2487.63,2532.80,2507.25,-0.0237,146.8900,145.9500,148.8400,147.2600,0.0132,2.2202,2.2025,2.2361,2.2111,,,,,
07-06-2025,0.0121,108132.80,107825.20,109310.00,108695.55,0.0468,2507.00,2504.27,2572.60,2546.99,0.0042,147.2400,146.8200,153.2800,151.4800,0.0401,2.2109,2.2082,2.2914,2.2700,,,,,
07-07-2025,0.0046,108691.70,107507.00,109860.00,107890.46,0.0416,2545.88,2512.76,2608.80,2534.41,-0.0163,151.4900,147.8000,154.0000,148.3800,0.0388,2.2702,2.2555,2.3561,2.2670,0.0210,3338.82,3296.46,3346.26,3337.06
07-08-2025,0.0117,107908.10,107438.33,109340.00,108660.64,0.0684,2537.00,2523.58,2630.00,2599.47,-0.0053,148.3700,147.7000,153.0000,150.0400,0.0525,2.2653,2.2487,2.3250,2.2970,0.0101,3333.57,3287.22,3345.89,3301.48
